facility_code,facility_name,date,date_year,date_quarter,date_month,category,vol_treated,pct_treated_in_time,pct_variation_treated_prior_year,vol_wait,vol_long_wait,pct_waiting_in_time_total,date_last_update,vol_long_wait_RFS,vol_long_wait_NRFS,pct_waiting_in_time_RFS
120,St George,1/10/2015,2015,4,10,ALL,6,83,0,18,0,100,6/11/2015,0,0,100
100,Stanthorpe,1/10/2015,2015,4,10,1,6,100,0,1,0,100,6/11/2015,0,0,100
100,Stanthorpe,1/10/2015,2015,4,10,2,4,100,0,4,0,100,6/11/2015,0,0,100
100,Stanthorpe,1/10/2015,2015,4,10,3,0,0,0,1,0,100,6/11/2015,0,0,100
100,Stanthorpe,1/10/2015,2015,4,10,ALL,10,100,0,6,0,100,6/11/2015,0,0,100
4,Prince Charles,1/10/2015,2015,4,10,1,151,100,-22,80,0,100,6/11/2015,0,0,100
4,Prince Charles,1/10/2015,2015,4,10,2,148,95,-8,396,15,96,6/11/2015,14,1,95
4,Prince Charles,1/10/2015,2015,4,10,3,114,100,70,739,1,100,6/11/2015,1,0,100
4,Prince Charles,1/10/2015,2015,4,10,ALL,413,98,-2,1215,16,99,6/11/2015,15,1,98
226,Thursday Island,1/10/2015,2015,4,10,1,5,80,0,0,0,0,6/11/2015,0,0,0
226,Thursday Island,1/10/2015,2015,4,10,2,9,100,0,0,0,0,6/11/2015,0,0,0
226,Thursday Island,1/10/2015,2015,4,10,3,14,100,0,5,0,100,6/11/2015,0,0,100
226,Thursday Island,1/10/2015,2015,4,10,ALL,28,96,0,5,0,100,6/11/2015,0,0,100
104,Toowoomba,1/10/2015,2015,4,10,1,121,100,-8,96,0,100,6/11/2015,0,0,100
104,Toowoomba,1/10/2015,2015,4,10,2,204,100,-6,339,0,100,6/11/2015,0,0,100
104,Toowoomba,1/10/2015,2015,4,10,3,175,100,119,1734,0,100,6/11/2015,0,0,100
104,Toowoomba,1/10/2015,2015,4,10,ALL,500,100,17,2169,0,100,6/11/2015,0,0,100
200,Townsville,1/10/2015,2015,4,10,1,236,100,-12,198,0,100,6/11/2015,0,0,100
200,Townsville,1/10/2015,2015,4,10,2,277,91,-3,795,29,96,6/11/2015,23,6,97
200,Townsville,1/10/2015,2015,4,10,3,139,99,-5,1770,7,100,6/11/2015,5,2,100
200,Townsville,1/10/2015,2015,4,10,ALL,652,96,-7,2763,36,99,6/11/2015,28,8,99
105,Warwick,1/10/2015,2015,4,10,1,2,100,0,0,0,0,6/11/2015,0,0,0
105,Warwick,1/10/2015,2015,4,10,2,29,100,0,10,0,100,6/11/2015,0,0,100
105,Warwick,1/10/2015,2015,4,10,3,7,100,0,1,0,100,6/11/2015,0,0,0
105,Warwick,1/10/2015,2015,4,10,ALL,38,100,0,11,0,100,6/11/2015,0,0,100
228,Weipa,1/10/2015,2015,4,10,1,0,0,0,0,0,0,6/11/2015,0,0,0
228,Weipa,1/10/2015,2015,4,10,2,0,0,0,0,0,0,6/11/2015,0,0,0
228,Weipa,1/10/2015,2015,4,10,3,0,0,0,4,0,100,6/11/2015,0,0,100
228,Weipa,1/10/2015,2015,4,10,ALL,0,0,0,4,0,100,6/11/2015,0,0,100
211,Atherton,1/11/2015,2015,4,11,1,4,100,-64,0,0,0,7/12/2015,0,0,0
211,Atherton,1/11/2015,2015,4,11,2,18,100,29,13,0,100,7/12/2015,0,0,100
211,Atherton,1/11/2015,2015,4,11,3,13,100,-7,19,0,100,7/12/2015,0,0,100
211,Atherton,1/11/2015,2015,4,11,ALL,35,100,-10,32,0,100,7/12/2015,0,0,100
191,Ayr,1/11/2015,2015,4,11,1,2,100,0,0,0,0,7/12/2015,0,0,0
191,Ayr,1/11/2015,2015,4,11,2,4,100,0,3,0,100,7/12/2015,0,0,100
191,Ayr,1/11/2015,2015,4,11,3,2,100,0,3,0,100,7/12/2015,0,0,100
191,Ayr,1/11/2015,2015,4,11,ALL,8,100,0,6,0,100,7/12/2015,0,0,100
41,Beaudesert,1/11/2015,2015,4,11,1,4,100,300,2,0,100,7/12/2015,0,0,100
41,Beaudesert,1/11/2015,2015,4,11,2,5,100,150,8,0,100,7/12/2015,0,0,100
41,Beaudesert,1/11/2015,2015,4,11,3,14,100,8,21,0,100,7/12/2015,0,0,100
41,Beaudesert,1/11/2015,2015,4,11,ALL,23,100,44,31,0,100,7/12/2015,0,0,100
133,Biloela,1/11/2015,2015,4,11,1,1,100,0,0,0,0,7/12/2015,0,0,0
133,Biloela,1/11/2015,2015,4,11,2,2,100,0,2,0,100,7/12/2015,0,0,100
133,Biloela,1/11/2015,2015,4,11,3,0,0,0,1,0,100,7/12/2015,0,0,100
133,Biloela,1/11/2015,2015,4,11,ALL,3,100,0,3,0,100,7/12/2015,0,0,100
62,Bundaberg,1/11/2015,2015,4,11,1,93,100,-4,53,0,100,7/12/2015,0,0,100
62,Bundaberg,1/11/2015,2015,4,11,2,81,100,-20,139,0,100,7/12/2015,0,0,100
62,Bundaberg,1/11/2015,2015,4,11,3,37,100,164,99,0,100,7/12/2015,0,0,100
62,Bundaberg,1/11/2015,2015,4,11,ALL,211,100,-1,291,0,100,7/12/2015,0,0,100
30,Caboolture,1/11/2015,2015,4,11,1,54,100,-14,77,0,100,7/12/2015,0,0,100
30,Caboolture,1/11/2015,2015,4,11,2,94,87,18,251,1,100,7/12/2015,1,0,100
30,Caboolture,1/11/2015,2015,4,11,3,55,93,293,617,1,100,7/12/2015,1,0,100
30,Caboolture,1/11/2015,2015,4,11,ALL,203,92,29,945,2,100,7/12/2015,2,0,100
214,Cairns,1/11/2015,2015,4,11,1,252,93,19,205,3,99,7/12/2015,1,2,99
214,Cairns,1/11/2015,2015,4,11,2,146,97,-18,521,8,99,7/12/2015,7,1,98
214,Cairns,1/11/2015,2015,4,11,3,97,100,-15,984,0,100,7/12/2015,0,0,100
214,Cairns,1/11/2015,2015,4,11,ALL,495,95,-2,1710,11,99,7/12/2015,8,3,99
43,Caloundra,1/11/2015,2015,4,11,1,3,100,-86,2,0,100,7/12/2015,0,0,100
43,Caloundra,1/11/2015,2015,4,11,2,45,82,61,23,0,100,7/12/2015,0,0,100
43,Caloundra,1/11/2015,2015,4,11,3,9,78,-10,154,1,99,7/12/2015,0,1,100
43,Caloundra,1/11/2015,2015,4,11,ALL,57,83,-3,179,1,99,7/12/2015,0,1,100
112,Charleville,1/11/2015,2015,4,11,1,0,0,0,1,0,100,7/12/2015,0,0,100
112,Charleville,1/11/2015,2015,4,11,2,2,100,0,11,0,100,7/12/2015,0,0,100
112,Charleville,1/11/2015,2015,4,11,3,0,0,0,7,0,100,7/12/2015,0,0,100
112,Charleville,1/11/2015,2015,4,11,ALL,2,100,0,19,0,100,7/12/2015,0,0,100
193,Charters Towers,1/11/2015,2015,4,11,1,0,0,0,0,0,0,7/12/2015,0,0,0
193,Charters Towers,1/11/2015,2015,4,11,2,2,100,0,8,1,88,7/12/2015,1,0,80
193,Charters Towers,1/11/2015,2015,4,11,3,0,0,0,1,0,100,7/12/2015,0,0,100
193,Charters Towers,1/11/2015,2015,4,11,ALL,2,100,0,9,1,89,7/12/2015,1,0,83
91,Chinchilla,1/11/2015,2015,4,11,1,2,100,0,0,0,0,7/12/2015,0,0,0
91,Chinchilla,1/11/2015,2015,4,11,2,4,100,0,2,0,100,7/12/2015,0,0,100
91,Chinchilla,1/11/2015,2015,4,11,3,1,100,0,1,0,100,7/12/2015,0,0,100
91,Chinchilla,1/11/2015,2015,4,11,ALL,7,100,0,3,0,100,7/12/2015,0,0,100
216,Cooktown,1/11/2015,2015,4,11,1,0,0,0,0,0,0,7/12/2015,0,0,0
216,Cooktown,1/11/2015,2015,4,11,2,0,0,0,0,0,0,7/12/2015,0,0,0
216,Cooktown,1/11/2015,2015,4,11,3,0,0,0,0,0,0,7/12/2015,0,0,0
216,Cooktown,1/11/2015,2015,4,11,ALL,0,0,0,0,0,0,7/12/2015,0,0,0
